text,aspect,sentiment
But the staff was so horrible to us .,staff,negative
"Since it literally is a complete hole in the wall , it ""s"" a bit intimidating at first , but you get over that very quickly as soon as the friendly staff welcomes you - do ""nt"" hesitate to ask for help with what to get .",staff,positive
The staff is no nonsense .,staff,positive
This is a great Thai restaurant with a very friendly staff .,staff,positive
"Saturday , Nov. 6th I had a group from work come in with about 35 people and the staff was amazing to accomodate us .",staff,positive
The staff ignored my friends and I the entire time we were there .,staff,negative
The staff was the friendliest that have seen in New York .,staff,positive
The staff is also attentive and friendly .,staff,positive
From the moment you enter till the moment you walk out the friendly and helpful staff was was just Fantastic .,staff,positive
The staff is incredibly helpful and attentive .,staff,positive
The staff was knowledgeable and full of personality .,staff,positive
Great staff .,staff,positive
"And the staff is also young , energeic and hot !!!!",staff,positive
"The staff are attentive , and have smiles on their faces .",staff,positive
"While the staff at this little bistro is very friendly , I have never experienced more incompetency .",staff,positive
The staff is courteous and friendly .,staff,positive
"We ""ve"" never had any problems with the staff but maybe we ""ve"" been lucky ?",staff,positive
"The staff has always been attentive and kind , and I ""ve"" always been amazed at how they ""ve"" handled all the various different group sizes that come in .",staff,positive
I can not imagine a friendlier staff working in a restaurant .,staff,positive
The staff there is very attentive and down to earth .,staff,positive
"The whole set up is truly unprofessional and I wish Cafe Noir would get some good staff , because despite the current one this is a great place .",staff,negative
"We , there were four of us , arrived at noon - the place was empty - and the staff acted like we were imposing on them and they were very rude .",staff,negative
from an English speaking staff .,staff,neutral
"The well mannered , pleasant staff that Tony has in his employ .",staff,positive
"I ""ve"" rarely had a problem with slow staff in the 10 years I ""ve"" been going .",staff,positive
The all-Italian staff is warm and engaging from the start .,staff,positive
The staff should be a bit more friendly .,staff,negative
"Also , the staff is very attentive and really personable .",staff,positive
The staff is very sharp and they look good too .,staff,positive
The staff is very friendly .,staff,positive
The staff was extremely friendly and pleasant .,staff,positive
"To be completely fair , the only redeeming factor was the food , which was above average , but could ""nt"" make up for all the other deficiencies of Teodora .",food,positive
Nevertheless the food itself is pretty good .,food,positive
"Unfortunately , the food is outstanding , but everything else about this restaurant is the pits .",food,positive
Not impressed with the food .,food,negative
"This place is really trendi but they have forgotten about the most important part of a restaurant , the food .",food,negative
The food was bland oily .,food,negative
The food is great .,food,positive
"The food was just awful , ATROCIOUS actually .",food,negative
Our food was great too !,food,positive
Lived in Shanghai most of my life and thought the food was comparable to the flagship Green Bo restaurant there .,food,positive
"Too bad the food was ""nt"" of the same heritage .",food,negative
"While we thoroughly enjoyed the food , it was annoying to scream across the table for conversation .",food,positive
All the food was hot tasty .,food,positive
"The food is o.k. , but not any better than what you get at a good neighborhood restaurant .",food,neutral
The food is great and authentic .,food,positive
The food was great .,food,positive
"All of my co-workers stated that the food was amazing and wondered why they had ""nt"" heard about this place .",food,positive
The food is prepared quickly and efficiently .,food,positive
"The food is terrible and overall , I would have to say avoid at all costs .",food,negative
"Unfortunately , the food was NOT something to get worked up about .",food,negative
"It ""s"" constantly open , catering to the Pakistani cabbies lined up on Crosby St. , so there ""s"" more turnover with the food than you ""d"" expect -LRB- i.e. , surprisingly fresh -RRB- .",food,positive
He takes real pride in his food and his business .,food,positive
We were in search of food and stumbled on this block of Indian restaurants on East Sixth Street .,food,neutral
"i ""ve"" been to sapphire twice and both times the food was fine , if not good .",food,positive
I was really disappointed ant wanted to tell everyone not to go eat or even take out food from there .,food,negative
The food now is inconsistent .,food,negative
"It wo ""nt"" break the bank but I also wouldnt come back for the food .",food,negative
"The food ""s"" as good as ever .",food,positive
Have frequented ` ino for several years and the food remains excellent .,food,positive
"Each bite of food at Kai was indeed delicious , fresh , and elegant .",food,positive
This place is a great stop for great food .,food,positive
"While the food was excellent , it was ""nt"" cheap -LRB- though not extremely expensive either -RRB- .",food,positive
"As much as I like the food there , I ca ""nt"" bring myself to go back .",food,positive
We were very surprised by how good the food was on our first visit here on a Sunday night .,food,positive
The food is amazing !!!!,food,positive
"The production is a symphony , alot of fun to experience.The food sublime for the most part .",food,positive
"The food at this place is ` gourmet """" Indian cuisine .",food,neutral
"My friend ""s"" food was also the complete opposite of what it ""s"" supposed to taste like -LRB- aND look like -RRB- .",food,negative
"I ""m"" still mad that i had to pay for lousy food .",food,negative
"The food is mostly made from scratch , fresh and well prepared .",food,positive
"So , for good food i ""d"" recommend it , but not for a fun night out .",food,positive
"I ""m"" no food critic , but I ""d"" like to think I have a tiny bit of experience under my belt having lived in NY for the last 11 years .",food,neutral
The food was absolutely amazing !!,food,positive
The food was good too .,food,positive
The food has been consistant for years and it never lets you down .,food,positive
The food was spicy and delicious .,food,positive
"Anyways , if you ""re"" in the neighborhood to eat good food , I would ""nt"" waste my time trying to find something , rather go across the street to Tamari .",food,positive
This food is asian-air fusion .,food,neutral
