text,aspect,sentiment
the only thing i do n't like about this is the cover does suck .,cover,negative
yet after ensuring that all the id3 tags are in order ( with the software which is actually not as bad as people make it out ) it actually turns out to be really handy .,"id3, tags",positive
my only complaint would be that you need id3 tags & that takes a while to do if your mp3 files do n't have them .,"id3, tags",negative
"unlike my 3 other mp3 players , this thing will only work properly if you have id3 tags on all of your tracks .","id3, tags",negative
"2 ) having unfilled id3 tags will cause music to be potentially placed in a folder called "" unknown . ""","id3, tags",negative
the scroll wheel is a big improvement over the ipod touchpad .,"scroll, wheel",positive
"the scroll wheel , to be blunt , sucks .","scroll, wheel",negative
"the scroll wheel is easy to use and works great for me , however many have complained that the wheel is cumbersome and difficult to operate .","scroll, wheel",positive
"the only complaint i have is that when you push in the scroll wheel to select , you have to push straight in or it sticks .","scroll, wheel",negative
the scroll wheel is finicky ; it works most of the time but there is a learning curve for pressing it just right ; new users say they have 50 % - 75 % success rate ; some find it so frustrating that they just return the device .,"scroll, wheel",negative
"if you hold down the scroll wheel too long ( which is common if you have a lot of songs to sort through ) , it will get "" stuck "" rapidly going through the songs and wo n't stop until several seconds after you let your finger off of it .","scroll, wheel",negative
"the scroll wheel is better than the ipod 's as well , in that you do n't risk giving yourself a cramp running your thumb around in circles endlessly - just a small nudge of the finger and you 're there .","scroll, wheel",positive
"in fact , each of my creative mp3 players had software problem in the first place .","software, problem",negative
i gave the zen 5 stars because it 's excellent for the class that it is in and it 's not really appropriate to rate it based on players in a different class .,zen,positive
"this camera is worth every penny , and i highly recommend it !",camera,positive
"still , at least from my perspective , a great camera for the money , and i ' m a happy camper !",camera,positive
made the camera totally inoperable .,camera,negative
"over all a fantastic very compact camera , which made us experience photography on a totally new level !",camera,positive
"there are so many functions in this little , yet powerful camera !",camera,positive
only con i can think of is no camera ... .,camera,negative
"this is my first digital camera , and i am very pleased with it .",camera,positive
definetely a great camera .,camera,positive
"if you strictly use the lcd and not the view finder , i highly recommend the camera .",camera,positive
"i ' ve only had it a week , but so far , everything about this camera is making me happy .",camera,positive
this camera has none of these flaws and will be something you 'll use all the time .,camera,positive
i ' m extremely glad i bought this camera .,camera,positive
"i have it for a week now , and this camera has exceeded my expectations .",camera,positive
i enthusiastically recommend this camera .,camera,positive
i can ' t write enough positive things about this great little camera !,camera,positive
"great camera , i have been using this for several months and got excellent results , simple friendly usage , in many scenes indoor , outdoor , snow , close up macro etc .",camera,positive
this is a great camera for you !,camera,positive
only if we could get one camera in it . .,camera,negative
am i ever glad that i decided on this camera !,camera,positive
i am a picture fanatic so i consider myself picky and if your the same way this camera will not let you down.now buy it !,camera,positive
